,date
659,201021
660,201022
661,201023
662,201024
664,201026
665,201027
666,201028
667,201029
670,201101
671,201102
672,201103
673,201104
676,201107
677,201108
678,201109
679,201110
684,201115
685,201116
686,201117
687,201118
688,201119
689,201120
690,201121
691,201122
692,201123
693,201124
694,201125
695,201126
696,201127
697,201128
698,201129
699,201130
700,201201
701,201202
702,201203
703,201204
704,201205
705,201206
706,201207
710,201211
711,201212
712,201213
713,201214
714,201215
715,201216
716,201217
717,201218
718,201219
719,201220
720,201221
722,201223
723,201224
724,201225
725,201226
726,201227
727,201228
728,201229
729,201230
730,201231
731,210101
732,210102
733,210103
734,210104
735,210105
736,210106
737,210107
738,210108
739,210109
740,210110
744,210114
745,210115
746,210116
747,210117
748,210118
749,210119
750,210120
751,210121
752,210122
753,210123
755,210125
756,210126
757,210127
759,210129
761,210131
762,210201
763,210202
764,210203
767,210206
768,210207
769,210208
770,210209
772,210211
775,210214
776,210215
777,210216
778,210217
779,210218
781,210220
782,210221
783,210222
784,210223
785,210224
786,210225
787,210226
788,210227
789,210228
790,210301
791,210302
792,210303
793,210304
794,210305
795,210306
796,210307
799,210310
800,210311
801,210312
807,210318
808,210319
809,210320
811,210322
815,210326
818,210329
819,210330
820,210331
821,210401
822,210402
823,210403
824,210404
826,210406
827,210407
828,210408
829,210409
830,210410
831,210411
832,210412
833,210413
836,210416
837,210417
838,210418
839,210419
840,210420
841,210421
842,210422
843,210423
844,210424
845,210425
846,210426
847,210427
848,210428
849,210429
850,210430
851,210501
852,210502
853,210503
854,210504
858,210508
859,210509
860,210510
861,210511
862,210512
863,210513
864,210514
865,210515
866,210516
867,210517
868,210518
869,210519
870,210520
871,210521
874,210524
875,210525
876,210526
877,210527
878,210528
879,210529
880,210530
881,210531
882,210601
883,210602
884,210603
885,210604
886,210605
887,210606
888,210607
889,210608
890,210609
891,210610
892,210611
893,210612
894,210613
895,210614
896,210615
897,210616
898,210617
899,210618
900,210619
901,210620
902,210621
903,210622
904,210623
905,210624
906,210625
907,210626
908,210627
909,210628
910,210629
911,210630
912,210701
913,210702
914,210703
915,210704
916,210705
917,210706
918,210707
919,210708
920,210709
921,210710
922,210711
923,210712
924,210713
925,210714
926,210715
927,210716
928,210717
929,210718
930,210719
931,210720
932,210721
934,210723
935,210724
936,210725
937,210726
938,210727
939,210728
940,210729
941,210730
942,210731
943,210801
944,210802
945,210803
946,210804
947,210805
948,210806
949,210807
950,210808
951,210809
952,210810
953,210811
954,210812
955,210813
956,210814
957,210815
958,210816
959,210817
960,210818
961,210819
962,210820
963,210821
964,210822
965,210823
966,210824
967,210825
968,210826
969,210827
970,210828
971,210829
972,210830
973,210831
974,210901
975,210902
976,210903
977,210904
978,210905
979,210906
980,210907
981,210908
982,210909
983,210910
984,210911
985,210912
986,210913
987,210914
988,210915
989,210916
990,210917
991,210918
992,210919
993,210920
994,210921
995,210922
996,210923
997,210924
998,210925
999,210926
1000,210927
1001,210928
1002,210929
1003,210930
1004,211001
1005,211002
1006,211003
1007,211004
1008,211005
1009,211006
1010,211007
1011,211008
1012,211009
1013,211010
1014,211011
1015,211012
1016,211013
1017,211014
1018,211015
1019,211016
1020,211017
1021,211018
1022,211019
1023,211020
1024,211021
1025,211022
1026,211023
1027,211024
1028,211025
1029,211026
1030,211027
1031,211028
1032,211029
1033,211030
